Wavelength (µm) raw,Microcline hs108.13749 raw,Wavelength (µm) bin avg,Microcline hs108.13749 bin avg,Wavelength (µm) cubic spline of bin avg,Microcline hs108.13749 cubic spline of bin avg
1.89687,0.792003,,,,
1.89757,0.79158,,,,
1.89826,0.79158,,,,
1.89896,0.791051,,,,
1.89965,0.790522,,,,
1.90035,0.790627,,,,
1.90105,0.790416,,,,
1.90174,0.790205,,,,
1.90244,0.789676,,,,
1.90314,0.789358,,,,
1.90384,0.78957,,,,
1.90454,0.789252,,,,
1.90524,0.788723,,,,
1.90594,0.788406,,,,
1.90664,0.788406,,,,
1.90734,0.788512,,,,
1.90804,0.788618,,,,
1.90875,0.788512,,,,
1.90945,0.788512,,,,
1.91015,0.788618,,,,
1.91086,0.788194,,,,
1.91156,0.78777,,,,
1.91227,0.78756,,,,
1.91297,0.786713,,,,
1.91368,0.786395,,,,
1.91439,0.786924,,,,
1.91509,0.787242,,,,
1.9158,0.787348,,,,
1.91651,0.787136,,,,
1.91722,0.78703,,,,
1.91793,0.78703,,,,
1.91864,0.786924,,,,
1.91935,0.786818,,,,
1.92006,0.786501,,,,
1.92077,0.786501,,,,
1.92148,0.787242,,,,
1.92219,0.787666,,,,
