Wavelength (nm),BKR1KW003D anorthite Kierra <45µm
3669.79,0.844291
3672.39,0.844653
3675.0,0.845032
3677.6,0.845384
3680.21,0.84575
3682.83,0.846133
3685.44,0.846489
3688.06,0.846818
3690.69,0.847195
3693.32,0.847616
3695.95,0.848015
3698.59,0.848338
3701.23,0.848695
3703.87,0.849093
3706.52,0.849457
3709.17,0.849838
3711.83,0.850148
3714.48,0.85045
3717.15,0.850825
3719.81,0.851165
3722.48,0.851507
3725.16,0.851849
3727.83,0.85217
3730.52,0.852477
3733.2,0.852803
3735.89,0.853194
3738.59,0.853538
3741.28,0.853848
3743.98,0.854187
3746.69,0.854493
3749.4,0.854832
3752.11,0.855197
3754.83,0.855468
3757.55,0.855716
3760.27,0.856004
3763.0,0.856278
3765.74,0.856578
3768.47,0.856844
3771.21,0.857133
3773.96,0.857388
3776.71,0.857572
3779.46,0.857776
3782.22,0.857964
3784.98,0.858087
3787.74,0.858271
3790.51,0.858469
3793.28,0.85862
3796.06,0.858756
3798.84,0.858916
3801.63,0.859092
3804.42,0.859208
3807.21,0.859311
3810.01,0.859414
3812.81,0.859515
3815.61,0.85961
3818.42,0.859737
3821.24,0.859857
3824.05,0.859958
3826.88,0.860046
3829.7,0.860079
3832.53,0.860114
3835.37,0.860169
3838.21,0.86021
3841.05,0.860254
3843.9,0.860309
3846.75,0.860358
3849.6,0.860375
3852.46,0.860414
3855.33,0.860403
3858.2,0.860362
3861.07,0.86034
3863.95,0.86032
3866.83,0.860259
3869.71,0.860232
3872.6,0.860169
3875.5,0.860099
3878.4,0.860042
3881.3,0.860002
3884.21,0.85998
3887.12,0.859969
3890.04,0.85989
3892.96,0.859857
3895.88,0.859805
3898.81,0.859711
3901.74,0.859632
3904.68,0.859546
3907.62,0.859449
3910.57,0.859348
3913.52,0.859248
3916.48,0.859219
3919.44,0.859125
3922.4,0.859002
3925.37,0.858921
3928.35,0.858837
3931.32,0.858763
3934.31,0.858658
3937.29,0.858491
3940.29,0.858377
3943.28,0.858269
3946.28,0.858134
3949.29,0.857986
3952.3,0.857811
3955.31,0.857664
3958.33,0.857517
3961.36,0.857322
3964.39,0.85717
3967.42,0.857015
3970.46,0.856824
3973.5,0.856633
3976.55,0.856451
3979.6,0.85624
3982.65,0.856048
3985.71,0.855817
3988.78,0.855593
3991.85,0.855385
3994.93,0.855139
3998.01,0.854894
