Wavelength (µm) raw,<125 µm (357) raw,Wavelength (µm) bin avg,<125 µm (357) bin avg,Wavelength (µm) cubic spline of bin avg,<125 µm (357) cubic spline of bin avg
1.45,0.52021,2.74164,0.5201450000000001,2.7416454901960785,0.520137903277873
1.455,0.52308,2.75163,0.51027,2.7516264705882354,0.5102730139466081
1.46,0.52697,2.76161,0.501,2.7616074509803923,0.5010026593941866
1.465,0.53054,2.77159,0.49002999999999997,2.7715884313725487,0.49003165782877395
1.47,0.53346,2.78157,0.48139,2.7815694117647056,0.4813903671127356
1.475,0.53694,2.79155,0.47691,2.7915503921568625,0.4769098467652445
1.48,0.53992,2.80153,0.47286,2.8015313725490194,0.4728594824685924
1.485,0.54304,2.81151,0.47001,2.8115123529411763,0.4700095880066304
1.49,0.54506,2.82149,0.46846,2.821493333333333,0.4684591828914873
1.495,0.54759,2.83147,0.464985,2.83147431372549,0.46498346823566244
1.5,0.55054,2.84145,0.46224,2.841455294117647,0.4622389193481058
1.505,0.55299,2.85144,0.46075,2.851436274509804,0.46075037598455404
1.51,0.55531,2.86142,0.46,2.8614172549019607,0.4600001786307156
1.515,0.55751,2.8714,0.459075,2.8713982352941176,0.45907525110179404
1.52,0.55976,2.88138,0.45747499999999997,2.8813792156862745,0.4574750978322851
1.525,0.56141,2.89136,0.45653,2.8913601960784314,0.4565299757232356
1.53,0.56314,2.90134,0.454955,2.9013411764705883,0.4549548381905478
1.535,0.56548,2.91132,0.45397,2.911322156862745,0.4539697939137913
1.54,0.5662,2.9213,0.45294999999999996,2.9213031372549016,0.452949739682199
1.545,0.56846,2.93128,0.45243,2.9312841176470585,0.45242985414919695
1.55,0.56925,2.94126,0.45225,2.9412650980392154,0.4522500728074901
1.555,0.57012,2.95125,0.45248,2.9512460784313723,0.45248002614593646
1.56,0.5711,2.96123,0.45219,2.961227058823529,0.45219001669228787
1.565,0.57237,2.97121,0.45255,2.971208039215686,0.45254990125757727
1.57,0.57358,2.98119,0.45304500000000003,2.981189019607843,0.4530449399583747
1.575,0.57455,2.99117,0.45402,2.99117,0.45402
1.58,0.57476,,,,
1.585,0.57444,,,,
1.59,0.57506,,,,
1.595,0.57538,,,,
1.6,0.57637,,,,
1.605,0.57608,,,,
1.61,0.57638,,,,
1.615,0.57651,,,,
