Wavelength (nm),Icelandic tephra JB501C  45-125 µm
3809.1,0.11174
3811.9,0.11188
3814.7,0.11211
3817.5,0.11225
3820.3,0.11228
3823.1,0.11265
3825.9,0.11301
3828.8,0.11304
3831.6,0.11319
3834.4,0.11342
3837.3,0.11357
3840.1,0.11367
3842.9,0.11391
3845.8,0.11413
3848.7,0.11414
3851.5,0.11423
3854.4,0.11454
3857.2,0.11486
3860.1,0.11497
3863,0.11505
3865.9,0.11521
3868.8,0.11546
3871.6,0.11577
3874.5,0.11593
3877.4,0.1159
3880.3,0.11591
3883.2,0.11613
3886.2,0.11625
3889.1,0.11642
3892,0.11668
3894.9,0.11671
3897.8,0.1167
3900.8,0.11683
3903.7,0.11693
3906.7,0.11706
3909.6,0.11739
3912.6,0.11761
3915.5,0.11763
3918.5,0.11759
3921.4,0.11765
3924.4,0.11762
3927.4,0.11766
3930.4,0.118
3933.3,0.11808
3936.3,0.11799
3939.3,0.11813
3942.3,0.1181
3945.3,0.11792
3948.3,0.11798
3951.3,0.11814
3954.3,0.11837
3957.4,0.11859
3960.4,0.11866
3963.4,0.11862
3966.4,0.1185
3969.5,0.11856
3972.5,0.11861
3975.6,0.11853
3978.6,0.11864
3981.7,0.11874
3984.7,0.11889
3987.8,0.11893
3990.9,0.11904
3993.9,0.119
3997,0.1189
4000.1,0.11886
