Wavelength (µm)	Pigeonite hs199 spliced
3.886173	0.205630
3.889088	0.205630
3.892008	0.205687
3.894932	0.205574
3.897861	0.205517
3.900793	0.205517
3.903731	0.205574
3.906672	0.205517
3.909618	0.205404
3.912569	0.205235
3.915524	0.205122
3.918483	0.205122
3.921447	0.205122
3.924416	0.205009
3.927389	0.204896
3.930367	0.204840
3.933349	0.204727
3.936336	0.204671
3.939327	0.204614
3.942322	0.204445
3.945323	0.204388
3.948327	0.204275
3.951337	0.203993
3.954351	0.203937
3.957370	0.203937
3.960393	0.203711
3.963421	0.203542
3.966453	0.203429
3.969490	0.203485
3.972532	0.203485
3.975579	0.203429
3.978629	0.203372
3.981685	0.203316
3.984745	0.203203
3.987810	0.203090
3.990880	0.203034
3.993955	0.203034
3.997034	0.202977
4.000118	0.202864
