Wavelength (µm)	Augite ws592 spliced
2.390113	0.377286
2.391215	0.377286
2.392318	0.377573
2.393423	0.377430
2.394528	0.377047
2.395635	0.377191
2.396743	0.377573
2.397851	0.377669
2.398961	0.377812
2.400071	0.378290
2.401183	0.378290
2.402296	0.377908
2.403410	0.378146
2.404524	0.378768
2.405640	0.378768
2.406757	0.378815
2.407875	0.378720
2.408994	0.378624
2.410113	0.378911
2.411234	0.379198
2.412356	0.379150
2.413479	0.379246
2.414603	0.379676
2.415729	0.379962
2.416855	0.379915
2.417982	0.379819
2.419111	0.379867
2.420240	0.379819
2.421371	0.379723
2.422502	0.379962
2.423635	0.380297
2.424768	0.380727
2.425903	0.380918
2.427038	0.381014
2.428176	0.380918
2.429314	0.381061
2.430453	0.381396
2.431592	0.381396
2.432734	0.381109
2.433876	0.381300
2.435019	0.381348
2.436163	0.381587
2.437308	0.381969
2.438454	0.382352
2.439602	0.382352
2.440750	0.382591
2.441900	0.382639
2.443051	0.382782
2.444203	0.383164
2.445355	0.383403
2.446510	0.383594
2.447665	0.383547
2.448821	0.383308
2.449978	0.383642
2.451137	0.384072
2.452296	0.384598
2.453457	0.384789
2.454618	0.384932
2.455781	0.384932
2.456945	0.385267
2.458110	0.385315
2.459276	0.385410
2.460443	0.385745
2.461612	0.385793
2.462781	0.385936
2.463952	0.386175
2.465123	0.386175
2.466296	0.386605
2.467470	0.386844
2.468645	0.387035
2.469821	0.387131
2.470998	0.387370
2.472176	0.387895
2.473356	0.388182
2.474536	0.388564
2.475718	0.388994
2.476901	0.389138
2.478085	0.389185
2.479270	0.389233
2.480456	0.389424
2.481644	0.389520
2.482832	0.389807
2.484022	0.389998
2.485213	0.390141
2.486404	0.390476
2.487597	0.390954
2.488792	0.391097
2.489987	0.391384
2.491184	0.391336
2.492381	0.391336
2.493581	0.391623
2.494781	0.391909
2.495982	0.392196
2.497184	0.392770
2.498387	0.392913
2.499592	0.392961
2.500798	0.393009
2.502005	0.393200
2.503213	0.393486
2.504422	0.393630
2.505633	0.393916
2.506844	0.394155
2.508057	0.394251
2.509271	0.394538
2.510486	0.394824
2.511703	0.395016
2.512920	0.395207
2.514138	0.395493
2.515358	0.395828
2.516579	0.396115
2.517802	0.396401
2.519025	0.396497
2.520250	0.396784
2.521476	0.397214
2.522703	0.397405
2.523931	0.397644
2.525160	0.398217
2.526391	0.398409
2.527622	0.398695
2.528856	0.398886
2.530090	0.398791
2.531325	0.399030
2.532562	0.399412
2.533800	0.399938
2.535039	0.399842
2.536279	0.400129
2.537520	0.400798
2.538763	0.401037
2.540007	0.401180
2.541252	0.401563
2.542498	0.401754
2.543746	0.402136
2.544994	0.402614
2.546244	0.402614
2.547495	0.402423
2.548748	0.402805
2.550002	0.402996
2.551256	0.403187
2.552513	0.403570
2.553771	0.404573
2.555029	0.405386
2.556289	0.405768
2.557550	0.406007
2.558813	0.405768
2.560076	0.404334
2.561341	0.403474
2.562607	0.404095
2.563875	0.404908
2.565143	0.406533
2.566413	0.407918
2.567684	0.407249
2.568957	0.406294
2.570230	0.407202
2.571505	0.407823
2.572781	0.406485
2.574058	0.407488
2.575337	0.408396
2.576617	0.408253
2.577898	0.409352
2.579181	0.410021
2.580465	0.409400
2.581750	0.409448
2.583036	0.408253
2.584324	0.408826
2.585613	0.410021
2.586903	0.409687
2.588195	0.410451
2.589488	0.411502
2.590782	0.412363
2.592077	0.411407
2.593373	0.407345
2.594671	0.405051
2.595971	0.409448
2.597271	0.413318
2.598573	0.414418
2.599876	0.414083
2.601181	0.413653
2.602487	0.413223
2.603794	0.412124
2.605102	0.411263
2.606412	0.412458
2.607723	0.414035
2.609035	0.414465
2.610349	0.415469
2.611664	0.416233
2.612981	0.416138
2.614299	0.416233
2.615618	0.414322
2.616938	0.413653
2.618260	0.415230
2.619583	0.414561
2.620907	0.416042
2.622233	0.418049
2.623560	0.418432
2.624888	0.417667
2.626217	0.416186
2.627548	0.417237
2.628881	0.416377
2.630215	0.415039
2.631550	0.417380
2.632886	0.418193
2.634224	0.418480
2.635564	0.419435
2.636904	0.419770
2.638246	0.419770
2.639590	0.419579
2.640934	0.419387
2.642280	0.419149
2.643628	0.419149
2.644976	0.418671
2.646327	0.418862
2.647678	0.419387
2.649031	0.419483
2.650386	0.418766
2.651741	0.417476
2.653098	0.417428
2.654457	0.417476
2.655817	0.417428
2.657177	0.417667
2.658540	0.416329
2.659904	0.415421
2.661270	0.415421
2.662637	0.415087
2.664005	0.412172
2.665375	0.409925
2.666745	0.409639
2.668118	0.409830
2.669492	0.406341
2.670867	0.405625
2.672244	0.407440
2.673622	0.406102
2.675002	0.402662
2.676383	0.398886
2.677765	0.396210
2.679150	0.393056
2.680535	0.390141
2.681922	0.385267
2.683310	0.379007
2.684700	0.372077
2.686090	0.363953
2.687483	0.355304
2.688877	0.346367
2.690272	0.336380
2.691669	0.325293
2.693067	0.312916
2.694467	0.301399
2.695868	0.289978
2.697270	0.276979
2.698674	0.263455
2.700080	0.252655
2.701487	0.244722
2.702896	0.237220
2.704306	0.228092
2.705717	0.218535
2.707130	0.209455
2.708544	0.201856
2.709960	0.197030
2.711378	0.195740
2.712797	0.195883
2.714217	0.195787
2.715639	0.195596
2.717062	0.194736
2.718487	0.193350
2.719913	0.191678
2.721341	0.191439
2.722770	0.190817
2.724200	0.189718
2.725633	0.189623
2.727067	0.189145
2.728502	0.188046
2.729939	0.186755
2.731377	0.185179
2.732817	0.183506
2.734258	0.181690
2.735701	0.180495
2.737146	0.179109
2.738592	0.176959
2.740039	0.175334
2.741488	0.174761
2.742939	0.174235
2.744391	0.173231
2.745844	0.172324
2.747299	0.171511
2.748756	0.170794
2.750214	0.170077
2.751674	0.169695
2.753135	0.168978
2.754598	0.168070
2.756062	0.168453
2.757528	0.169074
2.758996	0.169170
2.760465	0.168883
2.761936	0.168453
