Wavelength (nm),SynOl_Fo10
2700.8,0.34687
2702.1,0.34682
2703.6,0.3467
2705.0,0.34667
2706.4,0.34664
2707.8,0.34669
2709.2,0.34672
2710.6,0.34672
2712.1,0.34656
2713.5,0.34647
2714.9,0.34646
2716.3,0.34643
2717.7,0.34655
2719.2,0.34687
2720.6,0.34699
2722.0,0.34648
2723.4,0.34629
2724.9,0.34629
2726.3,0.34611
2727.7,0.34602
2729.2,0.34595
2730.6,0.34593
2732.1,0.34583
2733.5,0.34585
2734.9,0.34583
2736.4,0.34562
2737.8,0.34564
2739.3,0.34576
2740.7,0.34574
2742.2,0.34559
2743.6,0.34535
2745.1,0.34525
2746.5,0.34523
2748.0,0.34516
2749.4,0.34505
2750.9,0.34497
2752.4,0.34489
2753.8,0.34489
2755.3,0.34497
2756.7,0.34471
2758.2,0.34443
2759.7,0.34432
2761.1,0.34429
2762.6,0.34433
2764.1,0.34418
2765.6,0.344
2767.0,0.34395
2768.5,0.34385
2770.0,0.34375
2771.5,0.34366
2773.0,0.34348
2774.4,0.34332
2775.9,0.34325
2777.4,0.34322
2778.9,0.34307
2780.4,0.34293
2781.9,0.34283
2783.4,0.34275
2784.9,0.34266
2786.4,0.34255
2787.9,0.34237
2789.4,0.34216
2790.9,0.3421
2792.4,0.34207
2793.9,0.34196
2795.4,0.34188
2796.9,0.34175
2798.4,0.34163
2799.9,0.34149
2801.4,0.34143
2802.9,0.34141
2804.4,0.34128
2806.0,0.34105
2807.5,0.34089
2809.0,0.34084
2810.5,0.3408
2812.1,0.34071
2813.6,0.34068
2815.1,0.34052
2816.6,0.34039
2818.2,0.3403
2819.7,0.34018
2821.2,0.33997
2822.8,0.33987
2824.3,0.33983
2825.9,0.33981
2827.4,0.33966
2828.9,0.33953
2830.5,0.33946
2832.0,0.33941
2833.6,0.33936
2835.1,0.3393
2836.7,0.33912
2838.2,0.33898
2839.8,0.33897
2841.3,0.33892
2842.9,0.33882
2844.4,0.3387
2846.0,0.33856
2847.6,0.33851
2849.1,0.33843
2850.7,0.33837
2852.3,0.33831
2853.8,0.3382
2855.4,0.33811
2857.0,0.33811
2858.6,0.33803
2860.1,0.33796
2861.7,0.3379
2863.3,0.33787
2864.9,0.33782
2866.5,0.33767
2868.1,0.33753
2869.6,0.33752
2871.2,0.33753
2872.8,0.3374
2874.4,0.33724
2876.0,0.33725
2877.6,0.33729
2879.2,0.3373
2880.8,0.33714
2882.4,0.33695
2884.0,0.33688
2885.6,0.33693
2887.2,0.337
2888.8,0.33694
2890.4,0.33682
2892.0,0.33679
2893.6,0.3368
2895.3,0.33675
2896.9,0.33671
2898.5,0.33669
2900.1,0.33667
2901.8,0.33662
2903.4,0.33655
2905.0,0.33653
2906.6,0.33651
2908.3,0.3364
2909.9,0.33615
2911.5,0.33609
2913.2,0.33618
2914.8,0.33612
2916.4,0.33606
2918.1,0.33611
2919.7,0.33609
2921.4,0.33602
2923.0,0.33599
2924.7,0.33603
2926.3,0.33601
2928.0,0.33594
2929.6,0.33586
2931.3,0.33582
2932.9,0.33577
2934.6,0.33578
2936.3,0.33577
2937.9,0.33566
2939.6,0.33545
2941.3,0.33534
2942.9,0.33546
2944.6,0.33555
2946.3,0.33551
2947.9,0.33534
2949.6,0.33529
2951.3,0.33541
2953.0,0.33545
2954.7,0.33546
2956.3,0.33541
2958.0,0.33535
2959.7,0.33531
2961.4,0.3353
2963.1,0.33527
2964.8,0.33527
2966.5,0.33518
2968.2,0.33506
2969.9,0.33507
2971.6,0.33515
2973.3,0.33517
2975.0,0.33513
2976.7,0.33508
2978.4,0.33503
2980.1,0.335
2981.9,0.33497
2983.6,0.33486
2985.3,0.33485
2987.0,0.33496
2988.7,0.33498
2990.4,0.33492
2992.2,0.3349
2993.9,0.33488
2995.6,0.33478
2997.4,0.33474
2999.1,0.33473
3000.8,0.33473
3002.6,0.33477
3004.3,0.33474
3006.1,0.33462
3007.8,0.33453
3009.5,0.33457
3011.3,0.33456
3013.0,0.3345
3014.8,0.33442
3016.5,0.3344
3018.3,0.33437
3020.1,0.33432
3021.8,0.33422
3023.6,0.33407
3025.3,0.33396
3027.1,0.33405
3028.9,0.33417
3030.6,0.33416
3032.4,0.33408
3034.2,0.33399
