Wavenumber (cm-1)	Wavelength (µm)	Wavelength (nm)	SynOl_Fo90
9756.1	1.0250	1025.0	0.43675
9708.7	1.0300	1030.0	0.43607
9661.8	1.0350	1035.0	0.43549
9615.4	1.0400	1040.0	0.43655
9569.4	1.0450	1045.0	0.43664
9523.8	1.0500	1050.0	0.43636
9478.7	1.0550	1055.0	0.43757
9434.0	1.0600	1060.0	0.43867
9389.7	1.0650	1065.0	0.43915
9345.8	1.0700	1070.0	0.44059
9302.3	1.0750	1075.0	0.44250
9259.3	1.0800	1080.0	0.44422
9216.6	1.0850	1085.0	0.44664
9174.3	1.0900	1090.0	0.44893
9132.4	1.0950	1095.0	0.45145
9090.9	1.1000	1100.0	0.45393
9049.8	1.1050	1105.0	0.45620
9009.0	1.1100	1110.0	0.45914
8968.6	1.1150	1115.0	0.46155
8928.6	1.1200	1120.0	0.46351
8888.9	1.1250	1125.0	0.46507
8849.6	1.1300	1130.0	0.46773
8810.6	1.1350	1135.0	0.47180
8771.9	1.1400	1140.0	0.47269
8733.6	1.1450	1145.0	0.47566
8695.7	1.1500	1150.0	0.47692
8658.0	1.1550	1155.0	0.47788
8620.7	1.1600	1160.0	0.48111
8583.7	1.1650	1165.0	0.48325
8547.0	1.1700	1170.0	0.48479
8510.6	1.1750	1175.0	0.48632
8474.6	1.1800	1180.0	0.48876
8438.8	1.1850	1185.0	0.48962
8403.4	1.1900	1190.0	0.49209
8368.2	1.1950	1195.0	0.49389
8333.3	1.2000	1200.0	0.49513
8298.8	1.2050	1205.0	0.49638
8264.5	1.2100	1210.0	0.49880
8230.5	1.2150	1215.0	0.49817
8196.7	1.2200	1220.0	0.49949
8163.3	1.2250	1225.0	0.50182
8130.1	1.2300	1230.0	0.50258
8097.2	1.2350	1235.0	0.50490
8064.5	1.2400	1240.0	0.50590
8032.1	1.2450	1245.0	0.50839
8000.0	1.2500	1250.0	0.50919
7968.1	1.2550	1255.0	0.51125
7936.5	1.2600	1260.0	0.51227
7905.1	1.2650	1265.0	0.51395
7874.0	1.2700	1270.0	0.51521
7843.1	1.2750	1275.0	0.51684
7812.5	1.2800	1280.0	0.51787
7782.1	1.2850	1285.0	0.51909
7751.9	1.2900	1290.0	0.52117
7722.0	1.2950	1295.0	0.52271
7692.3	1.3000	1300.0	0.52444
7662.8	1.3050	1305.0	0.52586
7633.6	1.3100	1310.0	0.52717
7604.6	1.3150	1315.0	0.52914
7575.8	1.3200	1320.0	0.53168
7547.2	1.3250	1325.0	0.53283
7518.8	1.3300	1330.0	0.53562
7490.6	1.3350	1335.0	0.53773
7462.7	1.3400	1340.0	0.53946
7434.9	1.3450	1345.0	0.54153
7407.4	1.3500	1350.0	0.54364
7380.1	1.3550	1355.0	0.54555
7352.9	1.3600	1360.0	0.54750
7326.0	1.3650	1365.0	0.54900
7299.3	1.3700	1370.0	0.55053
7272.7	1.3750	1375.0	0.55222
7246.4	1.3800	1380.0	0.55443
7220.2	1.3850	1385.0	0.55665
7194.2	1.3900	1390.0	0.55929
7168.5	1.3950	1395.0	0.56232
7142.9	1.4000	1400.0	0.56528
7117.4	1.4050	1405.0	0.56779
7092.2	1.4100	1410.0	0.57041
7067.1	1.4150	1415.0	0.57244
7042.3	1.4200	1420.0	0.57392
7017.5	1.4250	1425.0	0.57517
6993.0	1.4300	1430.0	0.57664
6968.6	1.4350	1435.0	0.57825
6944.4	1.4400	1440.0	0.58008
