Wavelength (µm),Orthoclase nmnh142137.17360,Wavelength (µm) target,Orthoclase nmnh142137.17360 target
2.586903,0.807806,,
2.588195,0.808609,,
2.589488,0.809843,,
2.590782,0.81077,,
2.592077,0.808671,,
2.593373,0.80083,,
2.594671,0.795705,,
2.595971,0.803299,,
2.597271,0.809597,,
2.598573,0.81114,,
2.599876,0.81009,,
2.601181,0.808856,,
2.602487,0.807868,,
2.603794,0.805645,,
2.605102,0.802929,,
2.606412,0.805028,,
2.607723,0.807374,,
2.609035,0.807806,,
2.610349,0.808547,,
2.611664,0.809103,,
2.612981,0.808547,,
2.614299,0.808485,,
2.615618,0.805028,,
2.616938,0.80367,,
2.61826,0.805954,,
2.619583,0.803361,,
2.620907,0.804781,,
2.622233,0.809041,,
2.62356,0.809164,,
