Wavelength (µm),Microcline hs108.13761,Wavelength (µm) target,Microcline hs108.13761 target
2.67915,0.719438,,
2.680535,0.717428,,
2.681922,0.715586,,
2.68331,0.714665,,
2.6847,0.712906,,
2.68609,0.711231,,
2.687483,0.709473,,
2.688877,0.707295,,
2.690272,0.705118,,
2.691669,0.703276,,
2.693067,0.701517,,
2.694467,0.699089,,
2.695868,0.69599,,
2.69727,0.692557,,
2.698674,0.689123,,
2.70008,0.685606,,
2.701487,0.681837,,
2.702896,0.677399,,
2.704306,0.673714,,
2.705717,0.670951,,
2.70713,0.668271,,
2.708544,0.665926,,
2.70996,0.663414,,
2.711378,0.66065,,
2.712797,0.656296,,
2.714217,0.651941,,
2.715639,0.647335,,
2.717062,0.642478,,
2.718487,0.637118,,
2.719913,0.632178,,
2.721341,0.626064,,
2.72277,0.619114,,
2.7242,0.613,,
2.725633,0.606134,,
2.727067,0.599015,,
2.728502,0.5924,,
2.729939,0.58637,,
2.731377,0.580592,,
2.732817,0.574562,,
2.734258,0.568449,,
2.735701,0.562001,,
2.737146,0.555553,,
2.738592,0.549523,,
2.740039,0.543912,,
2.741488,0.53805,,
2.742939,0.532356,,
2.744391,0.526745,,
2.745844,0.521218,,
2.747299,0.515607,,
2.748756,0.510331,,
2.750214,0.50539,,
2.751674,0.500366,,
2.753135,0.495592,,
2.754598,0.491405,,
2.756062,0.487051,,
2.757528,0.482026,,
2.758996,0.477253,,
2.760465,0.472982,,
2.761936,0.469465,,
2.763408,0.466785,,
2.764882,0.464189,,
2.766357,0.461676,,
2.767834,0.458997,,
2.769313,0.456149,,
2.770793,0.453553,,
2.772275,0.451125,,
2.773758,0.44811,,
2.775243,0.445347,,
2.77673,0.443085,,
2.778218,0.440824,,
2.779707,0.43848,,
2.781199,0.436302,,
2.782691,0.434209,,
2.784185,0.43178,,
2.785681,0.4291,,
2.787179,0.427007,,
2.788678,0.424746,,
2.790179,0.422317,,
2.791682,0.419889,,
2.793186,0.417962,,
2.794692,0.416288,,
2.7962,0.414362,,
2.797709,0.412017,,
2.799219,0.409588,,
2.800731,0.407327,,
2.802245,0.405568,,
2.803761,0.403726,,
2.805278,0.4018,,
2.806797,0.39979,,
2.808318,0.397948,,
2.80984,0.396273,,
2.811363,0.394179,,
2.812889,0.392253,,
2.814416,0.39083,,
2.815945,0.389322,,
2.817475,0.387396,,
2.819007,0.38547,,
2.82054,0.383879,,
2.822076,0.382204,,
2.823613,0.380445,,
2.825152,0.378854,,
2.826692,0.377514,,
